tag,raw_text,tokens,ch_count
Counter-speech,Tharan Tamilanda  yanda Sombu  ethuikku munnadi Jayalalitha Karunanithi sethappa Yella channel pottu kaattuna...seri avungala vedu onnume illatha nehru thambi sethatha Koda avnoda sadangi fulla pottu kaattidu irunthanuga...apala intha Sombu yenga pochunu therilaye....poi paaruda india glitz and galatta voice namma Tamilar ooda local you tube chennel da Sombu ....athuvum avanuga fulla cinema paathitha pesidu iruppanuga ...epatha konja naala arasiyal ulla pesa varanuga....antha chennal ulla normal pesuravan la irunthu md Vara tamilanda Sombu.....seeman oru leader varan avanuikku youngsters follow irukku yentha channel podala so Evan pottu view vaaankidu money sambarichudan......  yethavathu forward msg paathudu short video evanachu edit panni poduvan atha paathudu Inga vanthu kambu sutha kudathu poi arasiyal na yennanu paaru.....,"['tharan', 'tamilanda', 'yanda', 'sombu', 'ethuikku', 'munnadi', 'jayalalitha', 'karunanithi', 'sethappa', 'yella', 'channel', 'pottu', 'kaattuna', '......', 'seri', 'avungala', 'vedu', 'onnume', 'illatha', 'nehru', 'thambi', 'sethatha', 'koda', 'avnoda', 'sadangi', 'fulla', 'pottu', 'kaattidu', 'irunthanuga', '......', 'apala', 'intha', 'sombu', 'yenga', 'pochunu', 'therilaye', '......', 'poi', 'paaruda', 'india', 'glitz', 'and', 'galatta', 'voice', 'namma', 'tamilar', 'ooda', 'local', 'you', 'tube', 'chennel', 'da', 'sombu', '......', 'athuvum', 'avanuga', 'fulla', 'cinema', 'paathitha', 'pesidu', 'iruppanuga', '......', 'epatha', 'konja', 'naala', 'arasiyal', 'ulla', 'pesa', 'varanuga', '......', 'antha', 'chennal', 'ulla', 'normal', 'pesuravan', 'la', 'irunthu', 'md', 'vara', 'tamilanda', 'sombu', '......', 'seeman', 'oru', 'leader', 'varan', 'avanuikku', 'youngsters', 'follow', 'irukku', 'yentha', 'channel', 'podala', 'so', 'evan', 'pottu', 'view', 'vaaankidu', 'money', 'sambarichudan', '......', 'yethavathu', 'forward', 'msg', 'paathudu', 'short', 'video', 'evanachu', 'edit', 'panni', 'poduvan', 'atha', 'paathudu', 'inga', 'vanthu', 'kambu', 'sutha', 'kudathu', 'poi', 'arasiyal', 'na', 'yennanu', 'paaru', '......']",124
None-of-the-above,Edho..its all but nu ennamo varum...sariya therla....ivanga name ah search pannunga varum,"['edho', '......', 'its', 'all', 'but', 'nu', 'ennamo', 'varum', '......', 'sariya', 'therla', '......', 'ivanga', 'name', 'ah', 'search', 'pannunga', 'varum']",18
None-of-the-above,Go S  one elder bro,"['go', 's', 'one', 'elder', 'bro']",5
None-of-the-above,Nama SFF theriyum nenaikira bro,"['nama', 'sff', 'theriyum', 'nenaikira', 'bro']",5
Misandry,DEI Venna Admin Ithu Karu palaniyappan Ku Illa Da Sunni,"['dei', 'venna', 'admin', 'ithu', 'karu', 'palaniyappan', 'ku', 'illa', 'da', 'sunni']",10
None-of-the-above,Intha transgender romba nallavangala irukanga,"['intha', 'transgender', 'romba', 'nallavangala', 'irukanga']",5
None-of-the-above,Excellent bro keep it up 👌👌👌👌👌👌👌,"['excellent', 'bro', 'keep', 'it', 'up']",5
None-of-the-above,Yella Brahmins yum ketta yennam ullavanga illa. Olachi sapduravangalum irukanga...But nalla education irunthum sila Brahmins mandayila sanathantha thooki somakirargal...avangala matha mudiyathu. Kandukkama kadanthu poganum...over ah thappu panna nalla thandanaya kodukanum..,"['yella', 'brahmins', 'yum', 'ketta', 'yennam', 'ullavanga', 'illa', '.', 'olachi', 'sapduravangalum', 'irukanga', '......', 'but', 'nalla', 'education', 'irunthum', 'sila', 'brahmins', 'mandayila', 'sanathantha', 'thooki', 'somakirargal', '......', 'avangala', 'matha', 'mudiyathu', '.', 'kandukkama', 'kadanthu', 'poganum', '......', 'over', 'ah', 'thappu', 'panna', 'nalla', 'thandanaya', 'kodukanum', '......']",39
None-of-the-above,Sabarinath Gnanakaran  Apna number .do,"['sabarinath', 'gnanakaran', 'apna', 'number', '.', 'do']",6
None-of-the-above,Babu Natarajan  I love you,"['babu', 'natarajan', 'i', 'love', 'you']",5
None-of-the-above,Best Engineering works Best Engineering works  pongada loosu pasanagala....,"['best', 'engineering', 'works', 'best', 'engineering', 'works', 'pongada', 'loosu', 'pasanagala', '......']",10
Counter-speech,MARI ESWARI  mamaiyar marumaga sandai its hypothetical.. yepo sanda poduvanga and samadhanam avanga nu solla mudiyathu..... ; ; Mudinja alavukku pethavanga vetla irunthu suruttitu vanthudanum.. parents yevalo kadan pattalum paravalla.. enna mind set ithu.. ithunga enna dashukku padichuthu... itha unga feminism ah.. ithoda previous episode ah periyar pathurukkanum..,"['mari', 'eswari', 'mamaiyar', 'marumaga', 'sandai', 'its', 'hypothetical', '......', 'yepo', 'sanda', 'poduvanga', 'and', 'samadhanam', 'avanga', 'nu', 'solla', 'mudiyathu', '......', ';', ';', 'mudinja', 'alavukku', 'pethavanga', 'vetla', 'irunthu', 'suruttitu', 'vanthudanum', '......', 'parents', 'yevalo', 'kadan', 'pattalum', 'paravalla', '......', 'enna', 'mind', 'set', 'ithu', '......', 'ithunga', 'enna', 'dashukku', 'padichuthu', '......', 'itha', 'unga', 'feminism', 'ah', '......', 'ithoda', 'previous', 'episode', 'ah', 'periyar', 'pathurukkanum', '......']",56
None-of-the-above,5:56 yarupa nee engirunthu vanthaaaa😅,"['5', ':', '56', 'yarupa', 'nee', 'engirunthu', 'vanthaaaa']",7
None-of-the-above,nee naan aval நீ நான் அவள்  ohh twins sa normal la pathutigla  papa ku age ena sister niga oru ala valskiglu,"['nee', 'naan', 'aval', 'நீ', 'நான்', 'அவள்', 'ohh', 'twins', 'sa', 'normal', 'la', 'pathutigla', 'papa', 'ku', 'age', 'ena', 'sister', 'niga', 'oru', 'ala', 'valskiglu']",21
None-of-the-above,Neengo nalla irkanum na unga family nalla irkanum 🙏🥺,"['neengo', 'nalla', 'irkanum', 'na', 'unga', 'family', 'nalla', 'irkanum']",8
None-of-the-above,Go to tamil gun or skytamil,"['go', 'to', 'tamil', 'gun', 'or', 'skytamil']",6
None-of-the-above,TMP ARMY ❤️ HEART PLS👍,"['tmp', 'army', 'heart', 'pls']",4
Misandry,3:57 thala... Neeye.. Ippovo appovo nu irukka... 😹😹😹😹,"['3', ':', '57', 'thala', '......', 'neeye', '......', 'ippovo', 'appovo', 'nu', 'irukka', '......']",12
None-of-the-above,Babu Natarajan  hi I'm bottom,"['babu', 'natarajan', 'hi', 'i', ""'"", 'm', 'bottom']",7
None-of-the-above,Enaku manithanum manasum than mukkiyam jathiye uruvakkunathe manithan than,"['enaku', 'manithanum', 'manasum', 'than', 'mukkiyam', 'jathiye', 'uruvakkunathe', 'manithan', 'than']",9
None-of-the-above,Karthi Shiva  Nan chennai macha,"['karthi', 'shiva', 'nan', 'chennai', 'macha']",5
None-of-the-above,Prabhu Prabhu apo neenga sollunga Len paapam what's life ndu bro?,"['prabhu', 'prabhu', 'apo', 'neenga', 'sollunga', 'len', 'paapam', 'what', ""'"", 's', 'life', 'ndu', 'bro', '?']",14
None-of-the-above,Mahesh please da enala mudiyala en kita vada daily sagaran,"['mahesh', 'please', 'da', 'enala', 'mudiyala', 'en', 'kita', 'vada', 'daily', 'sagaran']",10
None-of-the-above,madhavaraj madhavaraj  whatsapp va bro,"['madhavaraj', 'madhavaraj', 'whatsapp', 'va', 'bro']",5
None-of-the-above,harihara shankar  bro phone number varala bro,"['harihara', 'shankar', 'bro', 'phone', 'number', 'varala', 'bro']",7
None-of-the-above,Abilash Abilash  hii Ur watsapp number,"['abilash', 'abilash', 'hii', 'ur', 'watsapp', 'number']",6
Misandry,Idhula kodumanai ennana...pala poli thirunangaigalum sutha aarambuchitanga.....vela vetti illadha ambalinga kooda saree pottukittu indha maadhiri oora yemathikitu thiriyiranga......,"['idhula', 'kodumanai', 'ennana', '......', 'pala', 'poli', 'thirunangaigalum', 'sutha', 'aarambuchitanga', '......', 'vela', 'vetti', 'illadha', 'ambalinga', 'kooda', 'saree', 'pottukittu', 'indha', 'maadhiri', 'oora', 'yemathikitu', 'thiriyiranga', '......']",23
None-of-the-above,Anbu S Anbu  illaye ma,"['anbu', 's', 'anbu', 'illaye', 'ma']",5
Transphobic,Ivlo days ah kattuna build up lam intha lockdown naasam akiduche🤣 ungaludaya thozhiku aatharavu thaarungal nanbargale 🙏,"['ivlo', 'days', 'ah', 'kattuna', 'build', 'up', 'lam', 'intha', 'lockdown', 'naasam', 'akiduche', 'ungaludaya', 'thozhiku', 'aatharavu', 'thaarungal', 'nanbargale']",16
None-of-the-above,Bro antha akka Roomba varusam nalla valanum,"['bro', 'antha', 'akka', 'roomba', 'varusam', 'nalla', 'valanum']",7
Misandry,H raja nai nee avan sunne uombda nai yanndoy nabi s a w oudaey patte yenda pesrayn naiye,"['h', 'raja', 'nai', 'nee', 'avan', 'sunne', 'uombda', 'nai', 'yanndoy', 'nabi', 's', 'a', 'w', 'oudaey', 'patte', 'yenda', 'pesrayn', 'naiye']",18
None-of-the-above,Neenga panrathu nallathuthan bro bt p2 3 4 nu poidathinga avangaloda manasa romba kasta paduthidum... bro..,"['neenga', 'panrathu', 'nallathuthan', 'bro', 'bt', 'p2', '3', '4', 'nu', 'poidathinga', 'avangaloda', 'manasa', 'romba', 'kasta', 'paduthidum', '......', 'bro', '......']",18
None-of-the-above,Yen ma aangaluku pesuren nu nenaikathinga ; ; Pengaluku varathachani kodukaruthey perumaiya nenacha samugamum oru kaalathula irunthuchu so athu orey naal la maaridathu ; ; But ipo most youngsters varathachana illama marriage pannikura mananilai irunthalum avanga parents vidrathu illa kuripa amma ; ; So intha ulagathula pengaluku pengaley oru sila idathula ethir ah irukura varaikum ipadi thaan irukum,"['yen', 'ma', 'aangaluku', 'pesuren', 'nu', 'nenaikathinga', ';', ';', 'pengaluku', 'varathachani', 'kodukaruthey', 'perumaiya', 'nenacha', 'samugamum', 'oru', 'kaalathula', 'irunthuchu', 'so', 'athu', 'orey', 'naal', 'la', 'maaridathu', ';', ';', 'but', 'ipo', 'most', 'youngsters', 'varathachana', 'illama', 'marriage', 'pannikura', 'mananilai', 'irunthalum', 'avanga', 'parents', 'vidrathu', 'illa', 'kuripa', 'amma', ';', ';', 'so', 'intha', 'ulagathula', 'pengaluku', 'pengaley', 'oru', 'sila', 'idathula', 'ethir', 'ah', 'irukura', 'varaikum', 'ipadi', 'thaan', 'irukum']",58
None-of-the-above,Anish  ayio.. apdi solladheenga... adhukum nammala adika varuvaanga...,"['anish', 'ayio', '......', 'apdi', 'solladheenga', '......', 'adhukum', 'nammala', 'adika', 'varuvaanga', '......']",11
None-of-the-above,Just stupids non sense just avoid these videos lusu kooooooos,"['just', 'stupids', 'non', 'sense', 'just', 'avoid', 'these', 'videos', 'lusu', 'kooooooos']",10
Hope-Speech,Anna super video evlaa nalla irrk theyrimaa indha video !!!  Nigu sethadru solla bodhu Avgaa vuna kaga danc panngu andha our moment super👍  !!!  Anna super video I waiting part 2,"['anna', 'super', 'video', 'evlaa', 'nalla', 'irrk', 'theyrimaa', 'indha', 'video', '!', '!', '!', 'nigu', 'sethadru', 'solla', 'bodhu', 'avgaa', 'vuna', 'kaga', 'danc', 'panngu', 'andha', 'our', 'moment', 'super', '!', '!', '!', 'anna', 'super', 'video', 'i', 'waiting', 'part', '2']",35
None-of-the-above,relatives. .. sa marriage panna.. genetics.. problem pathi. sollu ga madan gowri,"['relatives', '......', 'sa', 'marriage', 'panna', '......', 'genetics', '......', 'problem', 'pathi', '.', 'sollu', 'ga', 'madan', 'gowri']",15
Homophobia,Pongada parathesigala it's very very very wrong itha panravanga pichakara karumanga....,"['pongada', 'parathesigala', 'it', ""'"", 's', 'very', 'very', 'very', 'wrong', 'itha', 'panravanga', 'pichakara', 'karumanga', '......']",14
None-of-the-above,Rasini Lina malaysia la ena panrega sis,"['rasini', 'lina', 'malaysia', 'la', 'ena', 'panrega', 'sis']",7
None-of-the-above,Super 🍓 super 🍓🍇🍇 super,"['super', 'super', 'super']",3
None-of-the-above,Will Com enakku vendam .. ungalukku arithaal ungal thaayarukku kondungal.,"['will', 'com', 'enakku', 'vendam', '......', 'ungalukku', 'arithaal', 'ungal', 'thaayarukku', 'kondungal', '.']",11
None-of-the-above,Sga manidhara endha vagailaium ungala thunburuthaadha oruthara naainu izhuvu paduthura ungala enna sollalam? Poi pozhappa paarunga thamizha,"['sga', 'manidhara', 'endha', 'vagailaium', 'ungala', 'thunburuthaadha', 'oruthara', 'naainu', 'izhuvu', 'paduthura', 'ungala', 'enna', 'sollalam', '?', 'poi', 'pozhappa', 'paarunga', 'thamizha']",18
None-of-the-above,Adra adra chlm en inam chlm neenu,"['adra', 'adra', 'chlm', 'en', 'inam', 'chlm', 'neenu']",7
Misandry,Dai Green satta thevidiya payale,"['dai', 'green', 'satta', 'thevidiya', 'payale']",5
Misandry,Avana oru mairum pudunga mudila ..  news oru kedu  ponga da dea...,"['avana', 'oru', 'mairum', 'pudunga', 'mudila', '......', 'news', 'oru', 'kedu', 'ponga', 'da', 'dea', '......']",13
Xenophobia,kudisekiram tamilnadu china controll poidum...,"['kudisekiram', 'tamilnadu', 'china', 'controll', 'poidum', '......']",6
None-of-the-above,Ayy Ar  eppadi chat panniga dear. En ronga  kaddutu.enakke  puriyala.,"['ayy', 'ar', 'eppadi', 'chat', 'panniga', 'dear', '.', 'en', 'ronga', 'kaddutu', '.', 'enakke', 'puriyala', '.']",14
None-of-the-above,God will surely help you'll,"['god', 'will', 'surely', 'help', 'you', ""'"", 'll']",7
None-of-the-above,Unakaga Na erukan nu soluraga paru.... 💓💓💓vara leval 💥💥,"['unakaga', 'na', 'erukan', 'nu', 'soluraga', 'paru', '......', 'vara', 'leval']",9
None-of-the-above,well said seeman sir 👏👏👏,"['well', 'said', 'seeman', 'sir']",4
None-of-the-above,Pongadaa neengalum unga jaathiyum kadaisi varaikum cast religion solliye savanga,"['pongadaa', 'neengalum', 'unga', 'jaathiyum', 'kadaisi', 'varaikum', 'cast', 'religion', 'solliye', 'savanga']",10
None-of-the-above,Enna mayiru culture nature ivanga ellarum periya idhu muttalhal,"['enna', 'mayiru', 'culture', 'nature', 'ivanga', 'ellarum', 'periya', 'idhu', 'muttalhal']",9
None-of-the-above,MARI ESWARI  neenga panakkara ponnu dana apdi dana pesuvinga,"['mari', 'eswari', 'neenga', 'panakkara', 'ponnu', 'dana', 'apdi', 'dana', 'pesuvinga']",9
None-of-the-above,kadhal than mukkiyam jathiye ella,"['kadhal', 'than', 'mukkiyam', 'jathiye', 'ella']",5
Misandry,Poda H cha  naaye,"['poda', 'h', 'cha', 'naaye']",4
None-of-the-above,Sariyana tharunathil sariyana nabaridam interview ungal aalumai super anna,"['sariyana', 'tharunathil', 'sariyana', 'nabaridam', 'interview', 'ungal', 'aalumai', 'super', 'anna']",9
None-of-the-above,Babu Natarajan  epa veli nadu,"['babu', 'natarajan', 'epa', 'veli', 'nadu']",5
Homophobia,Kalai Arasan  apdina ponna kalyaanam pannaama inoru paiyana kalyaanam pannu... Baadu,"['kalai', 'arasan', 'apdina', 'ponna', 'kalyaanam', 'pannaama', 'inoru', 'paiyana', 'kalyaanam', 'pannu', '......', 'baadu']",12
Misandry,Sandy R  pesitu irukangala sappi avala oombu da oomba porandha naatheri..  Vandhutan poola aatikitu 🤣🤣🤣😂😂,"['sandy', 'r', 'pesitu', 'irukangala', 'sappi', 'avala', 'oombu', 'da', 'oomba', 'porandha', 'naatheri', '......', 'vandhutan', 'poola', 'aatikitu']",15
Xenophobia,China eanna mo plan pannuthu,"['china', 'eanna', 'mo', 'plan', 'pannuthu']",5
None-of-the-above,Kavalaigal maranthu sirikka Tamil Medium Pasanga Channel ❤️........worldaa yarum panni pakatha prank🙏🙏........vera level bro ne😘😘........ waiting part2👍👍,"['kavalaigal', 'maranthu', 'sirikka', 'tamil', 'medium', 'pasanga', 'channel', '......', 'worldaa', 'yarum', 'panni', 'pakatha', 'prank', '......', 'vera', 'level', 'bro', 'ne', '......', 'waiting', 'part2']",21
None-of-the-above,Oru ponna ah Vida alaga irukinga,"['oru', 'ponna', 'ah', 'vida', 'alaga', 'irukinga']",6
None-of-the-above,Prankunu therinji parkkumpothey azhugaya varuthu suppar bro,"['prankunu', 'therinji', 'parkkumpothey', 'azhugaya', 'varuthu', 'suppar', 'bro']",7
None-of-the-above,Ella avanga avanga istam. Ana mathavangaluku thappu Mattu panna kudatha,"['ella', 'avanga', 'avanga', 'istam', '.', 'ana', 'mathavangaluku', 'thappu', 'mattu', 'panna', 'kudatha']",11
None-of-the-above,Akka nenga ella roomba pavam akka 😭😭😭,"['akka', 'nenga', 'ella', 'roomba', 'pavam', 'akka']",6
None-of-the-above,Ithalam nambura maari illa; ; But good msg bro❤️; Even looks like drama,"['ithalam', 'nambura', 'maari', 'illa', ';', ';', 'but', 'good', 'msg', 'bro', ';', 'even', 'looks', 'like', 'drama']",15
None-of-the-above,Mersal Kanmani .. naanum adhedhan solren 😣😣,"['mersal', 'kanmani', '......', 'naanum', 'adhedhan', 'solren']",6
None-of-the-above,Pratap oh nee hero poster ku paal abhishekam panra aala? adhu thaan nee pesuradhu ellam padam dialogue irukku. yenna seiradhu? nee padam paakurapa naan nalla books padichaen. unna madri periya porupu(parupu) kidaiyadhu.,"['pratap', 'oh', 'nee', 'hero', 'poster', 'ku', 'paal', 'abhishekam', 'panra', 'aala', '?', 'adhu', 'thaan', 'nee', 'pesuradhu', 'ellam', 'padam', 'dialogue', 'irukku', '.', 'yenna', 'seiradhu', '?', 'nee', 'padam', 'paakurapa', 'naan', 'nalla', 'books', 'padichaen', '.', 'unna', 'madri', 'periya', 'porupu', '(', 'parupu', ')', 'kidaiyadhu', '.']",40
Misogyny,cassia 42  illa sister paavm  avanga amma appa manasa purinjukkada ivalungala thitradula tappe illa .ivalungala paathu oru sila nalla ponnungalum kettu poiravaanga sister yosinga,"['cassia', '42', 'illa', 'sister', 'paavm', 'avanga', 'amma', 'appa', 'manasa', 'purinjukkada', 'ivalungala', 'thitradula', 'tappe', 'illa', '.', 'ivalungala', 'paathu', 'oru', 'sila', 'nalla', 'ponnungalum', 'kettu', 'poiravaanga', 'sister', 'yosinga']",25
None-of-the-above,Big Big salute sr nice message,"['big', 'big', 'salute', 'sr', 'nice', 'message']",6
None-of-the-above,Bro avanga super carrecter Anna 😳,"['bro', 'avanga', 'super', 'carrecter', 'anna']",5
None-of-the-above,Copyright ku yenna pannanum bro,"['copyright', 'ku', 'yenna', 'pannanum', 'bro']",5
None-of-the-above,xmsrks  inga reply panra elarume hindusdhan.....,"['xmsrks', 'inga', 'reply', 'panra', 'elarume', 'hindusdhan', '......']",7
None-of-the-above,Rasini Lina u frm ma,"['rasini', 'lina', 'u', 'frm', 'ma']",5
None-of-the-above,Nanba naa Salem thann prank pannumnu aasa yennai sethukovingla; Ennoda name rahul; Phone number 9384340427; Salem town kitchipalayam,"['nanba', 'naa', 'salem', 'thann', 'prank', 'pannumnu', 'aasa', 'yennai', 'sethukovingla', ';', 'ennoda', 'name', 'rahul', ';', 'phone', 'number', '9384340427', ';', 'salem', 'town', 'kitchipalayam']",21
None-of-the-above,Summa naanum adichu pathen en purusan thirupi adichutanga,"['summa', 'naanum', 'adichu', 'pathen', 'en', 'purusan', 'thirupi', 'adichutanga']",8
Xenophobia,Chaina ai Alithe thiravendum vera vali illa...,"['chaina', 'ai', 'alithe', 'thiravendum', 'vera', 'vali', 'illa', '......']",8
Misogyny,Oaththa antha kundu thakkale paththaka 🤢🤢,"['oaththa', 'antha', 'kundu', 'thakkale', 'paththaka']",5
Transphobic,Pitchakara Moothevinga Train la Ukkara uda maatithunga Parathesinga thuu. Ithungaluku daily azha vendiyatha iruku,"['pitchakara', 'moothevinga', 'train', 'la', 'ukkara', 'uda', 'maatithunga', 'parathesinga', 'thuu', '.', 'ithungaluku', 'daily', 'azha', 'vendiyatha', 'iruku']",15
None-of-the-above,Vignesh S  hi  dude.,"['vignesh', 's', 'hi', 'dude', '.']",5
None-of-the-above,Ani Anitha  உன் qualification enna?,"['ani', 'anitha', 'உன்', 'qualification', 'enna', '?']",6
None-of-the-above,Paari sol aairam yannaigaluku samam,"['paari', 'sol', 'aairam', 'yannaigaluku', 'samam']",5
Misandry,poda nee oruru punda yechakala raja,"['poda', 'nee', 'oruru', 'punda', 'yechakala', 'raja']",6
Transphobic,Ithungalah thirunangaigal ala panam pidingigal chuuuuuu chiiiiiiii,"['ithungalah', 'thirunangaigal', 'ala', 'panam', 'pidingigal', 'chuuuuuu', 'chiiiiiiii']",7
None-of-the-above,Neengal brogithathain mel karuthu yenna.,"['neengal', 'brogithathain', 'mel', 'karuthu', 'yenna', '.']",6
None-of-the-above,Akka semma cute ah irukinga...,"['akka', 'semma', 'cute', 'ah', 'irukinga', '......']",6
None-of-the-above,Ellorum ungala madhiri irundha endha lower cast upper cast problem varadhu,"['ellorum', 'ungala', 'madhiri', 'irundha', 'endha', 'lower', 'cast', 'upper', 'cast', 'problem', 'varadhu']",11
Misandry,yeanda echakalai raja thevadiya mavanae....vibacharigalukelam tamilnu paera? nee thavadiya mavanda potta pundai,"['yeanda', 'echakalai', 'raja', 'thevadiya', 'mavanae', '......', 'vibacharigalukelam', 'tamilnu', 'paera', '?', 'nee', 'thavadiya', 'mavanda', 'potta', 'pundai']",15
None-of-the-above,Nick vujic pathi video podunka bro..Google LA search panni parunka .nick vujic pathi,"['nick', 'vujic', 'pathi', 'video', 'podunka', 'bro', '......', 'google', 'la', 'search', 'panni', 'parunka', '.', 'nick', 'vujic', 'pathi']",16
None-of-the-above,Nee Ena karumaththavena panu ana over acting matum panadha pls 🙏 pakka suththama sakikala,"['nee', 'ena', 'karumaththavena', 'panu', 'ana', 'over', 'acting', 'matum', 'panadha', 'pls', 'pakka', 'suththama', 'sakikala']",13
Misogyny,Loose kooda interveiw panreenga  kuruttu koothikku innoru koothi kekkutha loose,"['loose', 'kooda', 'interveiw', 'panreenga', 'kuruttu', 'koothikku', 'innoru', 'koothi', 'kekkutha', 'loose']",10
None-of-the-above,Aj Aj  kastam vara vaipu iruntha solren,"['aj', 'aj', 'kastam', 'vara', 'vaipu', 'iruntha', 'solren']",7
None-of-the-above,Samma bro Vara level comment,"['samma', 'bro', 'vara', 'level', 'comment']",5
Misandry,Andha grey t shirt full hand ku manasula periya aan azhagan nu nenaipu !!!!! I support lgbtq ;D,"['andha', 'grey', 't', 'shirt', 'full', 'hand', 'ku', 'manasula', 'periya', 'aan', 'azhagan', 'nu', 'nenaipu', '!', '!', '!', '!', '!', 'i', 'support', 'lgbtq', ';', 'd']",23
None-of-the-above,Hari Haran  correct thaan.. Namma aalunga adha seyyalaye,"['hari', 'haran', 'correct', 'thaan', '......', 'namma', 'aalunga', 'adha', 'seyyalaye']",9
Misandry,Ippa poi kelungaley; Na sollavey illanu solluvan 😆; P ***a paiyan 😆,"['ippa', 'poi', 'kelungaley', ';', 'na', 'sollavey', 'illanu', 'solluvan', ';', 'p', '*', '*', '*', 'a', 'paiyan']",15
